iter	RMSE
0	3.393986963
1	3.351718624
2	3.317629544
3	3.274169993
4	3.243308596
5	3.220465676
6	3.193420542
7	3.174317685
8	3.153728316
9	3.137666387
10	3.116266212
11	3.10160131
12	3.092274994
13	3.07504128
14	3.056323025
15	3.043577013
16	3.030093301
17	3.016703865
18	3.006580161
19	2.995646906
20	2.977504399
21	2.966684231
22	2.956858392
23	2.947023235
24	2.93945976
25	2.930492522
26	2.924181316
27	2.910947332
28	2.904360484
29	2.895592411
30	2.88605623
31	2.881094948
32	2.873645443
33	2.865926914
34	2.855460615
35	2.847036871
36	2.843547796
37	2.834668203
38	2.824985098
39	2.818889544
40	2.81056413
41	2.806985446
42	2.795756892
43	2.784890267
44	2.781419756
45	2.776819369
46	2.771347952
47	2.766579615
48	2.762114695
49	2.755129779
50	2.749694164
51	2.746918943
52	2.745103764
53	2.738231604
54	2.73317325
55	2.728524138
56	2.723158421
57	2.714116852
58	2.709215152
59	2.704440219
60	2.696161208
61	2.691030518
62	2.684900904
63	2.68159999
64	2.678515717
65	2.673483895
66	2.671763769
67	2.66696699
68	2.66603295
69	2.663074417
70	2.65437724
71	2.65232459
72	2.648597578
73	2.646323103
74	2.643532245
75	2.64084624
76	2.636903262
77	2.632393637
78	2.629570322
79	2.626148917
80	2.622903955
81	2.619369652
82	2.616907587
83	2.613035838
84	2.609002189
85	2.608620993
86	2.603957848
87	2.601120631
88	2.599157613
89	2.596764235
90	2.593012806
91	2.590574423
92	2.583970502
93	2.580841621
94	2.577945133
95	2.570018554
96	2.566564254
97	2.564017685
98	2.558567537
99	2.555372154
100	2.548006661
101	2.547126873
102	2.54112835
103	2.539004763
104	2.536516424
105	2.535121698
106	2.531566631
107	2.52835195
108	2.526487674
109	2.522456239
110	2.517843092
111	2.516301198
112	2.513088357
113	2.512026665
114	2.506457046
115	2.502503222
116	2.499083114
117	2.496035824
118	2.492467927
119	2.490686001
120	2.487674038
121	2.484617129
122	2.483381735
123	2.479683105
124	2.47518119
125	2.473597853
126	2.470069032
127	2.468587488
128	2.465500624
129	2.46365478
130	2.461585624
131	2.458573343
132	2.454429843
133	2.452268793
134	2.451223684
135	2.447732288
136	2.443400567
137	2.44155477
138	2.43856001
139	2.433827419
140	2.431306426
141	2.428888225
142	2.424062796
143	2.419567435
144	2.417949878
145	2.41717712
146	2.414829941
147	2.41286201
148	2.411413074
149	2.408602099
150	2.406213841
151	2.404598155
152	2.402428778
153	2.39887224
154	2.395811947
155	2.392428946
156	2.391016081
157	2.388228584
158	2.386514787
159	2.38446034
160	2.379834895
161	2.378511782
162	2.376377335
163	2.375710709
164	2.374237437
165	2.371646418
166	2.369122399
167	2.36854633
168	2.365896568
169	2.362679596
170	2.360026973
171	2.359536515
172	2.356940703
173	2.356380286
174	2.352490284
175	2.351482122
176	2.349368702
177	2.347458207
178	2.346333716
179	2.344020087
180	2.337076095
181	2.33411928
182	2.333233923
183	2.331290388
184	2.328091487
185	2.326097529
186	2.323975946
187	2.323448036
188	2.321370895
189	2.319136194
190	2.316620463
191	2.311671939
192	2.309359956
193	2.304240268
194	2.30070576
195	2.297459105
196	2.296274181
197	2.29391256
198	2.293100854
199	2.292318308
