iter	Passed	Remaining
0	65	13083
1	71	7114
2	77	5104
3	83	4097
4	88	3462
5	94	3046
6	99	2750
7	105	2527
8	110	2347
9	115	2193
10	120	2068
11	126	1976
12	131	1888
13	136	1813
14	141	1749
15	147	1690
16	152	1641
17	158	1600
18	163	1561
19	168	1519
20	173	1483
21	178	1448
22	184	1417
23	189	1386
24	194	1359
25	199	1334
26	205	1314
27	210	1291
28	215	1270
29	221	1252
30	226	1233
31	231	1214
32	236	1197
33	241	1178
34	246	1162
35	252	1148
36	257	1133
37	262	1119
38	267	1105
39	273	1094
40	279	1082
41	284	1068
42	289	1058
43	295	1048
44	300	1035
45	305	1022
46	310	1011
47	315	1000
48	321	989
49	326	979
50	331	969
51	337	960
52	342	950
53	347	940
54	353	930
55	358	922
56	364	913
57	369	905
58	375	897
59	380	888
60	386	880
61	391	871
62	397	863
63	402	854
64	408	848
65	414	840
66	419	832
67	425	825
68	430	816
69	435	809
70	441	802
71	447	794
72	452	787
73	457	779
74	463	771
75	468	763
76	473	756
77	478	748
78	484	741
79	488	733
80	493	725
81	499	718
82	504	711
83	509	704
84	515	696
85	520	689
86	525	682
87	530	674
88	535	667
89	539	659
90	545	653
91	550	645
92	555	639
93	560	632
94	565	625
95	571	619
96	576	612
97	581	605
98	586	598
99	592	592
100	597	586
101	602	579
102	608	572
103	613	566
104	618	559
105	623	553
106	629	546
107	634	540
108	639	533
109	644	527
110	649	520
111	654	514
112	659	507
113	665	501
114	670	495
115	675	489
116	680	482
117	686	476
118	691	471
119	697	465
120	702	458
121	707	452
122	712	446
123	718	440
124	723	434
125	728	428
126	734	421
127	739	415
128	744	409
129	749	403
130	754	397
131	760	391
132	765	385
133	771	379
134	776	373
135	781	367
136	787	362
137	792	356
138	797	350
139	802	344
140	808	338
141	813	332
142	818	326
143	823	320
144	828	314
145	833	308
146	839	302
147	844	296
148	849	290
149	854	284
150	859	278
151	864	272
152	869	267
153	874	261
154	879	255
155	884	249
156	889	243
157	895	238
158	900	232
159	905	226
160	911	220
161	916	215
162	922	209
163	927	203
164	932	197
165	937	192
166	942	186
167	947	180
168	952	174
169	957	169
170	962	163
171	967	157
172	972	151
173	977	146
174	983	140
175	988	134
176	993	129
177	997	123
178	1002	117
179	1007	111
180	1013	106
181	1018	100
182	1023	95
183	1028	89
184	1033	83
185	1038	78
186	1044	72
187	1049	66
188	1054	61
189	1060	55
190	1065	50
191	1070	44
192	1076	39
193	1082	33
194	1086	27
195	1091	22
196	1097	16
197	1102	11
198	1107	5
199	1112	0
